Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining,nearest_day_return,nearest_day,Com_name,Sector
A_127,2012/11/19,123,106,109,1,46,11,0.047472833,2012/11/19 0:00,A,Health Care
A_124,2012/2/15,107,151,93,7,57,10,-0.003197819,2012/2/15 0:00,A,Health Care
A_758,2014/11/18,88,126,67,7,84,5,-0.010669312,2014/11/18 0:00,A,Health Care
A_224,2013/8/14,110,187,110,3,85,14,-0.008738326,2013/8/14 0:00,A,Health Care
A_761,2014/2/13,102,102,91,0,56,7,0.00317252,2014/2/13 0:00,A,Health Care
A_562,2018/11/19,100,216,107,7,55,9,-0.036620978,2018/11/19 0:00,A,Health Care
A_566,2019/11/26,81,174,122,5,35,11,0.008596995,2019/11/26 0:00,A,Health Care
A_561,2018/8/15,90,197,104,4,59,10,-0.030262122000000002,2018/8/15 0:00,A,Health Care
A_393,2016/5/16,84,221,119,5,59,5,0.007508205,2016/5/16 0:00,A,Health Care
A_756,2015/5/19,112,171,72,6,49,8,-0.0060990409999999995,2015/5/19 0:00,A,Health Care
A_126,2012/8/15,140,107,116,4,37,12,-0.00024702299999999997,2012/8/15 0:00,A,Health Care
A_397,2017/5/22,82,166,90,1,46,9,-0.000890776,2017/5/22 0:00,A,Health Care
A_564,2019/5/14,110,126,119,6,36,7,0.029387946,2019/5/14 0:00,A,Health Care
A_128,2013/2/14,167,131,137,8,60,9,-0.003798846,2013/2/14 0:00,A,Health Care
A_398,2017/8/16,78,169,80,2,59,20,0.046480267,2017/8/16 0:00,A,Health Care
A_563,2019/2/20,91,207,108,3,37,10,0.013415905,2019/2/20 0:00,A,Health Care
A_755,2015/8/17,131,170,96,2,67,4,0.004398399999999999,2015/8/17 0:00,A,Health Care
A_760,2014/5/14,65,106,67,6,62,7,-0.017244383999999998,2014/5/14 0:00,A,Health Care
A_560,2018/5/14,96,147,104,7,44,2,-0.0034556929999999997,2018/5/14 0:00,A,Health Care
A_400,2018/2/14,89,204,88,4,31,7,0.019900508,2018/2/14 0:00,A,Health Care
A_392,2016/2/16,96,164,67,4,50,7,0.023743804,2016/2/16 0:00,A,Health Care
A_565,2019/8/14,75,163,87,8,44,4,-0.030307556,2019/8/14 0:00,A,Health Care
A_759,2014/8/14,78,134,73,1,49,10,0.015334022,2014/8/14 0:00,A,Health Care
A_395,2016/11/15,64,156,124,5,56,6,0.0015442239999999999,2016/11/15 0:00,A,Health Care
A_399,2017/11/20,93,191,78,1,68,7,0.017008258999999998,2017/11/20 0:00,A,Health Care
A_757,2015/2/17,97,163,70,6,58,7,0.009215415,2015/2/17 0:00,A,Health Care
A_129,2013/5/14,188,137,106,9,83,17,0.021607789,2013/5/14 0:00,A,Health Care
A_394,2016/8/17,112,152,118,2,58,5,0.003106908,2016/8/17 0:00,A,Health Care
A_391,2015/11/17,94,139,97,1,66,19,0.02812749,2015/11/17 0:00,A,Health Care
AAL_1452,2018/10/25,113,292,79,16,91,13,0.066908331,2018/10/25 0:00,AAL,Industrials
AAL_1450,2018/4/26,69,180,80,3,53,14,-0.063646432,2018/4/26 0:00,AAL,Industrials
AAL_1303,2015/10/23,110,176,93,8,51,9,-0.00695811,2015/10/23 0:00,AAL,Industrials
AAL_1301,2015/4/24,121,139,114,5,71,9,0.024489762999999998,2015/4/24 0:00,AAL,Industrials
AAL_1310,2017/7/28,93,223,88,12,67,15,0.009800034000000001,2017/7/28 0:00,AAL,Industrials
AAL_1309,2017/4/27,122,259,138,18,80,22,-0.052155213,2017/4/27 0:00,AAL,Industrials
AAL_1299,2014/7/24,93,153,109,14,69,15,-0.027002122000000003,2014/7/24 0:00,AAL,Industrials
AAL_1453,2019/1/24,134,218,104,8,85,12,0.063507117,2019/1/24 0:00,AAL,Industrials
AAL_1307,2016/10/20,129,247,93,4,93,13,-0.000984517,2016/10/20 0:00,AAL,Industrials
AAL_1311,2017/10/26,144,234,107,7,66,9,-0.047236374000000005,2017/10/26 0:00,AAL,Industrials
AAL_1308,2017/1/27,112,205,105,16,113,11,-0.053236527,2017/1/27 0:00,AAL,Industrials
AAL_1306,2016/7/22,151,134,123,10,112,22,0.040045811,2016/7/22 0:00,AAL,Industrials
AAL_1449,2018/1/25,73,210,81,5,65,7,-0.03175765,2018/1/25 0:00,AAL,Industrials
AAL_1300,2015/1/27,119,186,112,16,104,7,-0.049594228,2015/1/27 0:00,AAL,Industrials
AAL_1451,2018/7/26,126,215,90,5,72,17,0.047918353,2018/7/26 0:00,AAL,Industrials
AAL_1456,2019/10/24,137,233,124,17,129,22,0.039589922,2019/10/24 0:00,AAL,Industrials
AAL_1457,2020/1/23,143,235,107,29,102,16,0.054172751,2020/1/23 0:00,AAL,Industrials
AAL_1454,2019/4/26,137,179,140,15,75,10,-0.01047586,2019/4/26 0:00,AAL,Industrials
